id,market,algorithm,symbol,status,deactivated_at,deactivation_reason
crypto_sol_transformer_nn__ps,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_transformer_nn__ps_v10,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_transformer_nn__ps_v2,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_transformer_nn__ps_v3,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_transformer_nn__ps_v4,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_transformer_nn__ps_v5,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_transformer_nn__ps_v6,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_transformer_nn__ps_v7,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_transformer_nn__ps_v8,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_transformer_nn__ps_v9,CRYPTO,transformer_nn__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_xgboost__ps,CRYPTO,xgboost__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
crypto_sol_xgboost__ps_v3,CRYPTO,xgboost__ps,SOL,DEACTIVATED,2026-07-03 08:43,Idle 0 trade toan lifetime du da co session (co hoi trade). Deactivate 2026-07-03 08:43. Zero-trade sweep tat ca market.
