bot_id,market,algorithm,symbol,closed_trades_72h,wins,win_rate_pct,realized_pnl_72h,status,deactivated_at,deactivation_reason
nasdaq_arima_garch_v3,NASDAQ,arima_garch,,21,5,23.8,-24.28,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 23.8% (<25%) tren 21 lenh dong + realized PnL -24.28 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
crypto_xgboost_v9,CRYPTO,xgboost,,42,9,21.4,-7.20,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 21.4% (<25%) tren 42 lenh dong + realized PnL -7.20 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
nasdaq_nflx_sarima__ps_v9,NASDAQ,sarima__ps,NFLX,6,0,0.0,-7.18,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 6 lenh dong + realized PnL -7.18 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_xgboost_v3,GOLD,xgboost,,70,2,2.9,-7.07,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 2.9% (<25%) tren 70 lenh dong + realized PnL -7.07 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
nasdaq_nflx_sarima__ps_v3,NASDAQ,sarima__ps,NFLX,6,0,0.0,-6.59,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 6 lenh dong + realized PnL -6.59 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_xgboost_v9,GOLD,xgboost,,75,5,6.7,-5.91,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 6.7% (<25%) tren 75 lenh dong + realized PnL -5.91 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_xgboost,GOLD,xgboost,,37,2,5.4,-4.51,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 5.4% (<25%) tren 37 lenh dong + realized PnL -4.51 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_xgboost_v7,GOLD,xgboost,,37,2,5.4,-4.51,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 5.4% (<25%) tren 37 lenh dong + realized PnL -4.51 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_xgboost_v6,GOLD,xgboost,,37,2,5.4,-4.51,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 5.4% (<25%) tren 37 lenh dong + realized PnL -4.51 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_lightgbm_v9,GOLD,lightgbm,,55,1,1.8,-3.33,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 1.8% (<25%) tren 55 lenh dong + realized PnL -3.33 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_lightgbm_v3,GOLD,lightgbm,,55,1,1.8,-3.33,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 1.8% (<25%) tren 55 lenh dong + realized PnL -3.33 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
crypto_lightgbm_v3,CRYPTO,lightgbm,,30,2,6.7,-2.85,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 6.7% (<25%) tren 30 lenh dong + realized PnL -2.85 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
