bot_id,market,algorithm,symbol,status,deactivated_at,deactivation_reason
crypto_btc_rl_dqn__ps,CRYPTO,rl_dqn__ps,BTC,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
crypto_eth_rl_dqn__ps,CRYPTO,rl_dqn__ps,ETH,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
crypto_sol_rl_dqn__ps,CRYPTO,rl_dqn__ps,SOL,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
gold_btmc_nhan_tron_rl_dqn__ps,GOLD,rl_dqn__ps,BTMC_nhan_tron,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
gold_btmc_sjc_rl_dqn__ps,GOLD,rl_dqn__ps,BTMC_sjc,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
gold_xau_spot_rl_dqn__ps,GOLD,rl_dqn__ps,XAU_spot,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_aapl_rl_dqn__ps,NASDAQ,rl_dqn__ps,AAPL,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_adbe_rl_dqn__ps,NASDAQ,rl_dqn__ps,ADBE,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_amd_rl_dqn__ps,NASDAQ,rl_dqn__ps,AMD,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_amzn_rl_dqn__ps,NASDAQ,rl_dqn__ps,AMZN,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
