bot_id,market,algorithm,symbol
crypto_arima_garch_v10,CRYPTO,arima_garch,
crypto_btc_arima_garch__ps_v8,CRYPTO,arima_garch__ps,BTC
crypto_btc_arima_garch__ps_v6,CRYPTO,arima_garch__ps,BTC
crypto_btc_arima_garch__ps_v5,CRYPTO,arima_garch__ps,BTC
crypto_btc_arima_garch__ps_v2,CRYPTO,arima_garch__ps,BTC
crypto_btc_arima_garch__ps_v10,CRYPTO,arima_garch__ps,BTC
crypto_btc_arima_garch__ps,CRYPTO,arima_garch__ps,BTC
crypto_btc_arima_garch__ps_v7,CRYPTO,arima_garch__ps,BTC
crypto_btc_arima_garch__ps_v9,CRYPTO,arima_garch__ps,BTC
crypto_btc_arima_garch__ps_v4,CRYPTO,arima_garch__ps,BTC
crypto_btc_arima_garch__ps_v3,CRYPTO,arima_garch__ps,BTC
crypto_eth_arima_garch__ps_v10,CRYPTO,arima_garch__ps,ETH
crypto_eth_arima_garch__ps_v2,CRYPTO,arima_garch__ps,ETH
crypto_eth_arima_garch__ps_v5,CRYPTO,arima_garch__ps,ETH
crypto_sol_arima_garch__ps_v10,CRYPTO,arima_garch__ps,SOL
crypto_egarch_v6,CRYPTO,egarch,
crypto_egarch_v7,CRYPTO,egarch,
crypto_egarch_v9,CRYPTO,egarch,
crypto_egarch_v4,CRYPTO,egarch,
crypto_egarch_v5,CRYPTO,egarch,
crypto_egarch_v3,CRYPTO,egarch,
crypto_egarch_v2,CRYPTO,egarch,
crypto_egarch_v8,CRYPTO,egarch,
crypto_egarch_v10,CRYPTO,egarch,
crypto_egarch,CRYPTO,egarch,
crypto_btc_egarch__ps_v5,CRYPTO,egarch__ps,BTC
crypto_btc_egarch__ps_v9,CRYPTO,egarch__ps,BTC
crypto_btc_egarch__ps_v8,CRYPTO,egarch__ps,BTC
crypto_btc_egarch__ps,CRYPTO,egarch__ps,BTC
crypto_btc_egarch__ps_v3,CRYPTO,egarch__ps,BTC
crypto_btc_egarch__ps_v7,CRYPTO,egarch__ps,BTC
crypto_btc_egarch__ps_v6,CRYPTO,egarch__ps,BTC
crypto_btc_egarch__ps_v10,CRYPTO,egarch__ps,BTC
crypto_btc_egarch__ps_v4,CRYPTO,egarch__ps,BTC
crypto_btc_egarch__ps_v2,CRYPTO,egarch__ps,BTC
crypto_eth_egarch__ps,CRYPTO,egarch__ps,ETH
crypto_eth_egarch__ps_v3,CRYPTO,egarch__ps,ETH
crypto_eth_egarch__ps_v4,CRYPTO,egarch__ps,ETH
crypto_eth_egarch__ps_v6,CRYPTO,egarch__ps,ETH
crypto_eth_egarch__ps_v9,CRYPTO,egarch__ps,ETH
crypto_eth_egarch__ps_v10,CRYPTO,egarch__ps,ETH
crypto_eth_egarch__ps_v2,CRYPTO,egarch__ps,ETH
