id,market,algorithm,sym,closed,wins,wr,pnl,bucket
nasdaq_rl_dqn,NASDAQ,rl_dqn,"",33,10,30.3,-205.87,A_WATCH_losing_bad_RR
nasdaq_egarch,NASDAQ,egarch,"",12,4,33.3,-38.43,A_WATCH_losing_bad_RR
nasdaq_ema_v7,NASDAQ,ema,"",6,2,33.3,-23.97,A_WATCH_losing_bad_RR
nasdaq_ema_v3,NASDAQ,ema,"",24,10,41.7,-21.18,A_WATCH_losing_bad_RR
nasdaq_arima_garch_v10,NASDAQ,arima_garch,"",13,5,38.5,-17.97,A_WATCH_losing_bad_RR
crypto_ensemble_v5,CRYPTO,ensemble,"",6,3,50.0,-17.72,A_WATCH_losing_bad_RR
nasdaq_ensemble_v12,NASDAQ,ensemble,"",13,5,38.5,-17.46,A_WATCH_losing_bad_RR
nasdaq_xgboost_v9,NASDAQ,xgboost,"",38,13,34.2,-16.18,A_WATCH_losing_bad_RR
nasdaq_ensemble_v11,NASDAQ,ensemble,"",9,3,33.3,-15.31,A_WATCH_losing_bad_RR
sp500_random_forest_v3,SP500,random_forest,"",32,11,34.4,-13.81,A_WATCH_losing_bad_RR
nasdaq_xgboost_v8,NASDAQ,xgboost,"",20,6,30.0,-13.44,A_WATCH_losing_bad_RR
crypto_ema_v6,CRYPTO,ema,"",7,3,42.9,-11.43,A_WATCH_losing_bad_RR
crypto_ema_v3,CRYPTO,ema,"",7,3,42.9,-11.43,A_WATCH_losing_bad_RR
gold_gru_nn_v4,GOLD,gru_nn,"",3,2,66.7,-10.54,A_WATCH_losing_bad_RR
nasdaq_egarch_v9,NASDAQ,egarch,"",47,19,40.4,-10.47,A_WATCH_losing_bad_RR
nasdaq_xgboost_v3,NASDAQ,xgboost,"",33,10,30.3,-10.37,A_WATCH_losing_bad_RR
crypto_moving_average_v7,CRYPTO,moving_average,"",2,1,50.0,-9.80,A_WATCH_losing_bad_RR
nasdaq_transformer_nn_v3,NASDAQ,transformer_nn,"",12,5,41.7,-9.54,A_WATCH_losing_bad_RR
nasdaq_intc_arima_garch__ps_v10,NASDAQ,arima_garch__ps,INTC,5,2,40.0,-9.42,A_WATCH_losing_bad_RR
nasdaq_intc_sarima__ps_v5,NASDAQ,sarima__ps,INTC,5,2,40.0,-9.42,A_WATCH_losing_bad_RR
crypto_lstm_nn_v8,CRYPTO,lstm_nn,"",4,3,75.0,-9.06,A_WATCH_losing_bad_RR
crypto_lstm_nn_v5,CRYPTO,lstm_nn,"",21,14,66.7,-8.71,A_WATCH_losing_bad_RR
nasdaq_ensemble_v2,NASDAQ,ensemble,"",22,7,31.8,-8.43,A_WATCH_losing_bad_RR
nasdaq_transformer_nn_v6,NASDAQ,transformer_nn,"",11,5,45.5,-8.39,A_WATCH_losing_bad_RR
nasdaq_meta_stack,NASDAQ,meta_stack,"",16,7,43.8,-8.12,A_WATCH_losing_bad_RR
sp500_lstm_nn_v4,SP500,lstm_nn,"",2,1,50.0,-8.00,A_WATCH_losing_bad_RR
crypto_sarima_v3,CRYPTO,sarima,"",2,1,50.0,-7.79,A_WATCH_losing_bad_RR
sp500_gru_nn_v5,SP500,gru_nn,"",11,4,36.4,-7.27,A_WATCH_losing_bad_RR
nasdaq_ensemble_v10,NASDAQ,ensemble,"",6,3,50.0,-7.19,A_WATCH_losing_bad_RR
sp500_gru_nn_v2,SP500,gru_nn,"",7,3,42.9,-7.14,A_WATCH_losing_bad_RR
nasdaq_transformer_nn_v7,NASDAQ,transformer_nn,"",7,4,57.1,-6.73,A_WATCH_losing_bad_RR
nasdaq_ema_v9,NASDAQ,ema,"",32,16,50.0,-6.64,A_WATCH_losing_bad_RR
nasdaq_transformer_nn_v12,NASDAQ,transformer_nn,"",9,5,55.6,-6.60,A_WATCH_losing_bad_RR
sp500_wmt_lstm_nn__ps_v9,SP500,lstm_nn__ps,WMT,3,1,33.3,-6.17,A_WATCH_losing_bad_RR
sp500_wmt_gru_nn__ps_v9,SP500,gru_nn__ps,WMT,3,1,33.3,-6.17,A_WATCH_losing_bad_RR
sp500_wmt_lightgbm__ps_v9,SP500,lightgbm__ps,WMT,3,1,33.3,-6.17,A_WATCH_losing_bad_RR
nasdaq_intc_ema__ps,NASDAQ,ema__ps,INTC,3,1,33.3,-5.81,A_WATCH_losing_bad_RR
crypto_moving_average_v3,CRYPTO,moving_average,"",5,2,40.0,-5.71,A_WATCH_losing_bad_RR
nasdaq_random_forest_v5,NASDAQ,random_forest,"",12,4,33.3,-5.49,A_WATCH_losing_bad_RR
crypto_moving_average,CRYPTO,moving_average,"",3,1,33.3,-5.39,A_WATCH_losing_bad_RR
nasdaq_xgboost_v12,NASDAQ,xgboost,"",6,2,33.3,-5.37,A_WATCH_losing_bad_RR
nasdaq_cost_egarch__ps_v9,NASDAQ,egarch__ps,COST,6,3,50.0,-5.14,A_WATCH_losing_bad_RR
nasdaq_xgboost_v11,NASDAQ,xgboost,"",6,3,50.0,-5.13,A_WATCH_losing_bad_RR
nasdaq_transformer_nn_v8,NASDAQ,transformer_nn,"",8,5,62.5,-5.07,A_WATCH_losing_bad_RR
crypto_moving_average_v6,CRYPTO,moving_average,"",4,2,50.0,-4.92,A_WATCH_losing_bad_RR
nasdaq_intc_meta_stack__ps,NASDAQ,meta_stack__ps,INTC,6,2,33.3,-4.77,A_WATCH_losing_bad_RR
nasdaq_transformer_nn_v11,NASDAQ,transformer_nn,"",8,5,62.5,-4.76,A_WATCH_losing_bad_RR
nasdaq_transformer_nn_v4,NASDAQ,transformer_nn,"",8,5,62.5,-4.76,A_WATCH_losing_bad_RR
sp500_lstm_nn_v3,SP500,lstm_nn,"",32,12,37.5,-4.69,A_WATCH_losing_bad_RR
nasdaq_avgo_egarch__ps_v8,NASDAQ,egarch__ps,AVGO,2,1,50.0,-4.26,A_WATCH_losing_bad_RR
nasdaq_avgo_egarch__ps_v5,NASDAQ,egarch__ps,AVGO,2,1,50.0,-4.26,A_WATCH_losing_bad_RR
nasdaq_tsla_ema__ps_v3,NASDAQ,ema__ps,TSLA,7,3,42.9,-4.20,A_WATCH_losing_bad_RR
nasdaq_intc_ema__ps_v6,NASDAQ,ema__ps,INTC,3,1,33.3,-4.01,A_WATCH_losing_bad_RR
nasdaq_cost_egarch__ps_v3,NASDAQ,egarch__ps,COST,5,3,60.0,-3.86,A_WATCH_losing_bad_RR
crypto_ema_v2,CRYPTO,ema,"",3,1,33.3,-3.76,A_WATCH_losing_bad_RR
nasdaq_transformer_nn_v2,NASDAQ,transformer_nn,"",8,5,62.5,-3.63,A_WATCH_losing_bad_RR
nasdaq_intc_egarch__ps_v8,NASDAQ,egarch__ps,INTC,3,1,33.3,-3.61,A_WATCH_losing_bad_RR
nasdaq_tsla_ema__ps_v9,NASDAQ,ema__ps,TSLA,9,4,44.4,-3.50,A_WATCH_losing_bad_RR
sp500_wmt_xgboost__ps_v9,SP500,xgboost__ps,WMT,2,1,50.0,-3.29,A_WATCH_losing_bad_RR
nasdaq_amzn_sarima__ps_v9,NASDAQ,sarima__ps,AMZN,6,4,66.7,-3.28,A_WATCH_losing_bad_RR
nasdaq_intc_ema__ps_v9,NASDAQ,ema__ps,INTC,10,3,30.0,-3.15,A_WATCH_losing_bad_RR
sp500_lstm_nn_v6,SP500,lstm_nn,"",30,10,33.3,-3.12,A_WATCH_losing_bad_RR
nasdaq_gru_nn_v9,NASDAQ,gru_nn,"",50,17,34.0,-2.83,A_WATCH_losing_bad_RR
gold_egarch_v6,GOLD,egarch,"",7,6,85.7,-2.81,A_WATCH_losing_bad_RR
nasdaq_adbe_gru_nn__ps_v6,NASDAQ,gru_nn__ps,ADBE,6,3,50.0,-2.73,A_WATCH_losing_bad_RR
nasdaq_adbe_gru_nn__ps_v3,NASDAQ,gru_nn__ps,ADBE,6,3,50.0,-2.73,A_WATCH_losing_bad_RR
nasdaq_amzn_egarch__ps_v9,NASDAQ,egarch__ps,AMZN,2,1,50.0,-2.56,A_WATCH_losing_bad_RR
sp500_ko_moving_average__ps_v9,SP500,moving_average__ps,KO,3,1,33.3,-2.54,A_WATCH_losing_bad_RR
sp500_egarch_v10,SP500,egarch,"",2,1,50.0,-2.53,A_WATCH_losing_bad_RR
nasdaq_qcom_gru_nn__ps_v9,NASDAQ,gru_nn__ps,QCOM,3,1,33.3,-2.50,A_WATCH_losing_bad_RR
nasdaq_qcom_ensemble__ps_v9,NASDAQ,ensemble__ps,QCOM,3,1,33.3,-2.50,A_WATCH_losing_bad_RR
